30195	Language error	cs101 homework2.3	100000052	question	\N	\N	2012-03-10 10:22:40.195085+00	0	11	0	0	2
533	Would be good do a group in skype to shared comments?	cs101 shared all first comments skype	100000058	question	\N	\N	2012-02-21 16:36:56.865421+00	0	1	0	1	4
14006	Why is homework still wrong under progress when it was declared correct?	cs101 wrong corrected homework	100003536	question	\N	\N	2012-03-01 21:08:14.639271+00	0	31	1	1	6
5845	capital udacity	cs101 strings	100004506	question	\N	\N	2012-02-25 21:50:37.53386+00	0	76	0	1	9
27862	can you show me sudokus to test my code ?	cs101 sudoku hw3.8	100005225	question	\N	\N	2012-03-08 20:01:51.045717+00	0	2096	21	55	65
1002258	Could someone put an announcement that the homework is here on the announcement page?	cs373 announcement hw	100004804	question	\N	\N	2012-02-24 04:05:07.328633+00	0	1125	2	6	20
36075			100006552	comment	35984	35984	2012-03-14 03:41:18.788084+00	5	2459	7	17	45
10282	HomeWork 3 Unit2 Median	cs101 unit2 3 median homework hw2.3	100006115	question	\N	\N	2012-02-29 09:40:42.301921+00	0	1494	1	6	21
5155	Lessons and Quizzes Required?	cs101 lessons quizzes required progress	100000824	question	\N	\N	2012-02-25 01:20:20.122434+00	0	267	2	5	19
11461	Solution Videos	cs101 solution videos	100008252	question	\N	\N	2012-03-01 00:47:10.777147+00	0	946	9	23	41
8029	Is Friend quiz won't get submitted correctly	cs101 isfriend quiz	100006887	question	\N	\N	2012-02-28 03:58:30.094685+00	0	187	7	8	16
10003085		st101 	100045976	answer	10003081	10003081	2012-07-02 04:47:10.086375+00	0	1346	0	2	15
2015581		cs101 	100023661	answer	2015580	2015580	2012-07-07 12:59:58.964433+00	0	3282	3	19	40
13494	Unit2.9 What does the INC procedure defined below do?	cs101 unit2.9	100005015	question	\N	\N	2012-03-01 17:01:06.55694+00	0	26	1	1	5
6657	Unit 1 - Subtitles not found after lesson 14	cs101 subtitles	100002767	question	\N	\N	2012-02-26 21:34:55.056659+00	1	261	0	2	8
2016109		cs101 	100027540	answer	2015952	2015952	2012-07-11 14:22:36.052293+00	0	23707	1	5	32
66539		cs101 	100002315	answer	66517	66517	2012-04-16 20:35:34.220448+00	0	3720	5	16	58
2938	Line-wrap in comments	cs101 bug	100004081	question	\N	\N	2012-02-23 11:35:14.660951+00	0	5345	3	20	54
9783	homework results	cs101 results	100004082	question	\N	\N	2012-02-29 02:26:01.933836+00	0	119	1	1	15
3546	last question of homework	cs101 rounding numbers	100000989	question	\N	\N	2012-02-23 19:07:52.799224+00	0	24	1	1	4
8000358		cs387 	100016314	answer	8000102	8000102	2012-04-18 16:43:10.286688+00	0	3249	0	2	36
8478	Homework1 what happens if i dont finish it to tomorow	cs101 homework1	100003456	question	\N	\N	2012-02-28 11:48:07.827102+00	0	2	0	1	2
2017963		cs101 	100026097	answer	2016089	2016089	2012-07-27 02:42:23.54429+00	1	5913	0	3	30
2000794		cs101 	100000461	answer	2000784	2000784	2012-04-18 19:18:22.226725+00	1	19304	10	68	205
